Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Burma Burma,"Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages",1500," Indiranagar, Bangalore",4.9,2790,4.5,838,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",9.18043E+11,12.97039445,77.6447133
Windmills Craftworks,"Continental, Fast Food, Kebab, Beverages, Italian, Desserts",2500," Windmills Craftworks, Bangalore",4.9,6543,4.2,524,https://www.zomato.com/bangalore/windmills-craftworks-whitefield,"78, Immaine Epip Industrial Area, Whitefield Bangalore",9.1888E+11,12.98241296,77.72197936
CTR Shri Sagar,South Indian,150," Malleshwaram, Bangalore",4.9,4837,4.3,22100,https://www.zomato.com/bangalore/ctr-shri-sagar-malleshwaram-bangalore,"7th Cross, Margosa Road, Malleshwaram, Bangalore",9.18023E+11,12.99827011,77.56945521
Brahmin's Coffee Bar,South Indian,100," Basavanagudi, Bangalore",4.9,2975,4.4,372,https://www.zomato.com/bangalore/brahmins-coffee-bar-basavanagudi,"Ranga Rao Road, Near Basavanagudi, Bangalore",9.19845E+11,12.95404312,77.56886512
Milano Ice Cream,"Desserts, Ice Cream, Beverages",400," Indiranagar, Bangalore",4.9,2575,4.4,1180,https://www.zomato.com/bangalore/milano-ice-cream-indiranagar,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",9.18041E+11,12.97912104,77.64403872
BelgYum,Desserts,400," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.9,1858,,0,https://www.zomato.com/bangalore/belgyum-whitefield,"16 106/107, 1st Floor, Pheonix Market City, Main Road, Whitefield, Bangalore",9.18067E+11,12.99763172,77.6968206
Lot Like Crepes,"Desserts, Fast Food, Beverages",500," Koramangala 7th Block, Bangalore",4.9,1083,3.9,365,https://www.zomato.com/bangalore/lot-like-crepes-koramangala-7th-block,"203, 1st Main, Koramangala 7th Block, Bangalore",9.18049E+11,12.93658526,77.61346791
Truffles,"Cafe, American, Coffee, Steak, Beverages, Fast Food",900," Koramangala 5th Block, Bangalore",4.8,16600,,0,https://www.zomato.com/bangalore/truffles-koramangala-5th-block,"28, 4th B Cross, Koramangala 5th Block, Bangalore",9.18041E+11,12.93343554,77.61434499
Bologna,"Italian, Desserts",1600," Indiranagar, Bangalore",4.8,1306,4.3,234,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore,"759, 1st Floor, 100 Feet Road, Indiranagar, Bangalore",9.18043E+11,12.97182157,77.64110304
Pasta Street,"Italian, European, Pizza, Pasta, Salad, Desserts, Beverages",1500," Koramangala 4th Block, Bangalore",4.8,1842,4.1,1252,https://www.zomato.com/bangalore/pasta-street-koramangala-4th-block-bangalore,"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",9.18044E+11,12.93296695,77.63111752
Chianti,"Italian, Pasta, Pizza",2000," Indiranagar, Bangalore",4.8,4814,4.5,165,https://www.zomato.com/bangalore/chianti-2-indiranagar,"960, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9.18041E+11,12.97021802,77.64030542
Santé Spa Cuisine,"Mediterranean, Italian, European, Desserts, Beverages",1500," Domlur, Bangalore",4.8,877,4,178,https://www.zomato.com/bangalore/santé-spa-cuisine-domlur-bangalore,"151, 2nd Cross, 2nd Stage, Domlur, Bangalore",9.18044E+11,12.96396971,77.63859853
Arogya Ahaara,South Indian,100," HSR, Bangalore",4.8,809,3.9,830,https://www.zomato.com/bangalore/arogya-ahaara-hsr,"108, 4th Cross, 13th Main, Jakkasandra, 5th Sector, HSR, Bangalore",9.18278E+11,12.91804385,77.63768893
Brik Oven,"Cafe, Italian, Fast Food, Desserts",1000," Church Street, Bangalore",4.8,2798,4.1,543,https://www.zomato.com/bangalore/brik-oven-church-street,"19, Brigade Garden, Shanti Nagar, Church Street, Bangalore",9.19148E+11,12.97472511,77.60541189
Corner House Ice Creams,"Desserts, Ice Cream, Beverages",300," Indiranagar, Bangalore",4.8,2401,4.5,14500,https://www.zomato.com/bangalore/corner-house-ice-creams-indiranagar-bangalore,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",9.19881E+11,12.9702177,77.6376145
Natural Ice Cream,"Ice Cream, Beverages, Desserts",300," Indiranagar, Bangalore",4.8,1144,4.6,946,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar,"2984, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9.1988E+11,12.9703033,77.64449771
Biergarten,"Continental, European, BBQ, Chinese, Asian",2000," Koramangala 5th Block, Bangalore",4.7,6936,3.9,139,https://www.zomato.com/bangalore/biergarten-koramangala-5th-block,"4th B Cross Road, Appek Building, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",9.18047E+11,12.93347017,77.61418238
Byg Brewski Brewing Company,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",1600," Sarjapur Road, Bangalore",4.7,25500,4.3,13400,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore,"10/61/2A/2 & 10/62/2A/3, Doddakannenahalli, Sarjapur Road, Bangalore",9.18047E+11,12.91293443,77.68290594
Street Storyss,"Fast Food, North Indian, Italian, Desserts, Beverages",1700," Indiranagar, Bangalore",4.7,876,4.3,240,https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore,"3155, HAL 2nd Stage, Indiranagar, Bangalore",9.19833E+11,12.9703266,77.6357265
Hard Rock Cafe,"American, Continental, Fast Food, Beverages",2800," St. Marks Road, Bangalore",4.7,5950,4,143,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road,"4 & 16, St. Marks Road, Bangalore",9.18089E+11,12.97606334,77.60155186
Arbor Brewing Company,"American, Continental, Fast Food, Beverages",2000," Brigade Road, Bangalore",4.7,8938,4,59,https://www.zomato.com/ArborBrewIndia,"8, 3rd Floor, Allied Grande Plaza, Diagonally, Opposite Garuda Mall, Brigade Road, Bangalore",9.1805E+11,12.9704219,77.61105794
AB's - Absolute Barbecues,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",1200," BTM, Bangalore",4.7,7881,3.9,401,https://www.zomato.com/bangalore/abs-absolute-barbecues-btm,"Near Jayadeva Flyover, 100 Feet Road, 1st Phase, 2nd Stage, BTM, Bangalore",9.17337E+11,12.9163576,77.60477956
Mavalli Tiffin Room (MTR),"South Indian, Beverages",250," Basavanagudi, Bangalore",4.7,3228,,0,https://www.zomato.com/bangalore/mavalli-tiffin-room-mtr-basavanagudi-bangalore,"14, Lalbagh Road, Mavalli, Basavanagudi, Bangalore",9.18022E+11,12.95490768,77.58568022
The Fatty Bao,"Asian, Japanese, Sushi, Chinese, Thai, Momos, Beverages",1200," Indiranagar, Bangalore",4.7,4340,4.3,3472,https://www.zomato.com/bangalore/the-fatty-bao-indiranagar-bangalore,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",9.18041E+11,12.97033695,77.64527254
Smoke House Deli,"Italian, European, American, Beverages, Continental",2000," Lavelle Road, Bangalore",4.7,3017,4.4,1111,https://www.zomato.com/SmokeHouseDeli-LavelleRoad,"52/ 53, Ground Floor, Lavelle Road, Bangalore",9.18041E+11,12.9716667,77.59839457
Mainland China,"Chinese, Asian, Seafood",1800," Whitefield, Bangalore",4.7,2715,4.1,2047,https://www.zomato.com/bangalore/mainland-china-whitefield,"28/2, 1st Floor, Siddapura, Whitefield Main Road, Whitefield, Bangalore",9.1938E+11,12.95567127,77.72527816
Toast & Tonic,"European, Asian, Bar Food, Beverages, Desserts",2000," Richmond Road, Bangalore",4.7,1301,4,86,https://www.zomato.com/bangalore/toast-tonic-richmond-road-bangalore,"14/1, Wood Street, Ashok Nagar, Richmond Road, Bangalore",9.18041E+11,12.96657733,77.60869961
SMOOR,"Italian, Thai, Pizza, Fast Food, Desserts, Beverages",900," Indiranagar, Bangalore",4.7,2086,4.4,3577,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore,"1131, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",9.18025E+11,12.96993083,77.64142055
Yauatcha,"Chinese, Asian",2000," 1 MG Road Mall, MG Road, Bangalore",4.7,2894,4,91,https://www.zomato.com/bangalore/yauatcha-mg-road,"Level 5, 1 MG Lido Mall, MG Road, Bangalore",9.19222E+11,12.97351365,77.62020294
Here & Now,"Cafe, American, Burger, Sandwich, Desserts, Beverages",900," HSR, Bangalore",4.7,1869,4,304,https://www.zomato.com/bangalore/here-now-hsr,"28, MCH Society, Sector 4, HSR, Bangalore",9.19109E+11,12.91356874,77.63820257
Once Upon A Flame,"Steak, Continental, Fast Food, BBQ, Beverages",1400," HSR, Bangalore",4.7,2401,4.3,2248,https://www.zomato.com/bangalore/once-upon-a-flame-hsr,"36, 1st Floor, 14th Main Road, 7th Sector, HSR, Bangalore",9.17761E+11,12.91189129,77.6380631
Taaza Thindi,South Indian,100," Banashankari, Bangalore",4.7,866,,0,https://www.zomato.com/bangalore/taaza-thindi-banashankari,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",9.1805E+11,12.92623505,77.54873414
Belgian Waffle Factory,Desserts,300," Brigade Road, Bangalore",4.7,2133,3.9,2538,https://www.zomato.com/bangalore/belgian-waffle-factory-brigade-road,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",9.19482E+11,12.96977891,77.60707453
Chinita Real Mexican Food,"Mexican, Salad, Desserts, Beverages",1200," Indiranagar, Bangalore",4.7,2827,4.5,547,https://www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar,"218, Double Road, 2nd Stage, Hoysala Nagar, Indiranagar, Bangalore",9.19687E+11,12.98098133,77.63725977
Brahma Brews,"Bar Food, Asian, Italian, North Indian, Fast Food, European, South Indian",1900," JP Nagar, Bangalore",4.6,5646,4.3,235,https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore,"Opposite Brigade Palm Springs, 24th Main, 7th Phase, JP Nagar, Bangalore",9.17483E+11,12.89323791,77.58632932
Stories Brewery & Kitchen,"North Indian, Continental, Chinese, Bar Food, Beverages",2000," BTM, Bangalore",4.6,4443,2.8,79,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore,"348-1-2, Survey 62, 29th Main, 2nd Stage, Lake Road, BTM, Bangalore",9.18047E+11,12.90573138,77.60841161
Communiti,"Continental, BBQ, Desserts, Italian, Sandwich, Fast Food",1500," Brigade Road, Bangalore",4.6,8344,,0,https://www.zomato.com/bangalore/communiti-brigade-road-bangalore,"67 - 68, Brigade Solitaire, Opposite Advaith Hyundai, Brigade Road, Bangalore",9.18041E+11,12.97263281,77.6082956
ShakesBierre,"Finger Food, North Indian, Asian, Italian, Desserts, Beverages",1500," Eva Mall, Brigade Road, Bangalore",4.6,2425,3.9,113,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore,"60, Level 4, EVA Mall, Ashok Nagar, Brigade Road, Bangalore",9.19615E+11,12.97087767,77.60744736
TBC Sky Lounge,"Continental, Asian, Italian, North Indian",1600," HSR, Bangalore",4.6,16300,3.7,221,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",9.1726E+11,12.92267737,77.65144195
The Hole In The Wall Cafe,"Cafe, American, Burger, Beverages, Desserts",600," Koramangala 4th Block, Bangalore",4.6,7954,4.2,2439,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore,"4, 8th Main Road, Koramangala 4th Block, Bangalore",9.18041E+11,12.93464785,77.62554456
The Permit Room,"South Indian, Modern Indian, Beverages",1500," Richmond Road, Bangalore",4.6,2005,4,95,https://www.zomato.com/bangalore/the-permit-room-richmond-road-bangalore,"16/3, Ram Kunj, Commisarriat Road, Richmond Road, Bangalore",9.19019E+11,12.9705374,77.61045441
Oyster Bar & Kitchen,"North Indian, Chinese, Italian, Fast Food, Beverages, Desserts",1200," HSR, Bangalore",4.6,1968,3.8,243,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore,"36, 3rd Floor, 14th Main Road, Sector 7, HSR, Bangalore",9.19592E+11,12.91192952,77.63801917
JW Kitchen - JW Marriott Bengaluru,"North Indian, Continental, Italian, South Indian, Mediterranean, European, Asian",2200," JW Marriott Bengaluru, Lavelle Road, Bangalore",4.6,2391,3.9,72,https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road,"JW Marriott, 24/1, Vittal Mallya Road, Near Lavelle Road, Bangalore",9.18884E+11,12.97187907,77.59511355
MISU,"Asian, Japanese, Thai, Burmese, Korean, Indonesian, Vietnamese, Singaporean",1700," St. Marks Road, Bangalore",4.6,2284,4.4,583,https://www.zomato.com/bangalore/misu-st-marks-road,"4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore",9.18971E+11,12.97065518,77.60065634
Bombay Brasserie,"Modern Indian, Street Food, Biryani, Desserts, Beverages",1800," Indiranagar, Bangalore",4.6,2331,3.7,507,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",9.1831E+11,12.97040393,77.64586598
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",2400," Richmond Road, Bangalore",4.6,2458,3.8,27,https://www.zomato.com/bangalore/olive-bar-kitchen-richmond-road-bangalore,"16, Wood Street, Ashok Nagar, Richmond Road, Bangalore",9.18041E+11,12.96697006,77.60783695
Barbeque Nation,"North Indian, Mughlai, Desserts, Beverages, Biryani, BBQ",1600," JP Nagar, Bangalore",4.6,6045,3.7,804,https://www.zomato.com/bangalore/barbeque-nation-jp-nagar,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",9.18069E+11,12.90635951,77.59681508
The Pizza Bakery - Brew & Eatery,"Pizza, Italian, Desserts, Beverages",1000," Indiranagar, Bangalore",4.6,2497,4.3,2526,https://www.zomato.com/bangalore/the-pizza-bakery-brew-eatery-indiranagar-bangalore,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9.16367E+11,12.97033009,77.64467239
Hae Kum Gang,"Korean, Beverages",1100," Brigade Road, Bangalore",4.6,1384,,0,https://www.zomato.com/bangalore/hae-kum-gang-2-brigade-road-bangalore,"20, Pauls Castle, Castle Street, Ashok Nagar, Brigade Road, Bangalore",9.18041E+11,12.96796788,77.60736287
Phobidden Fruit,"Vietnamese, Desserts, Thai",1100," Indiranagar, Bangalore",4.5,3184,4.4,252,https://www.zomato.com/bangalore/phobidden-fruit-indiranagar,"965, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",9.18041E+11,12.97006806,77.63965968
Lavonne,"Cafe, Continental, Beverages",800," Indiranagar, Bangalore",4.6,1579,4.3,101,https://www.zomato.com/bangalore/lavonne-indiranagar,"263, Domlur, 2nd Stage, Indiranagar, Bangalore",9.16367E+11,12.96697626,77.63693791
Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad",800," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.6,2242,4.1,535,https://www.zomato.com/bangalore/nandos-whitefield-bangalore,"Unit-15, Upper Ground Floor, Phoenix Market City, Krishnarajapura, Whitefield Main Road, Whitefield, Bangalore",9.18347E+11,12.997432,77.69654
Millers 46,"American, Continental, Steak",1100," Vasanth Nagar, Bangalore",4.6,2410,,1,https://www.zomato.com/bangalore/millers-46-vasanth-nagar,"46, Millers Road, Vasanth Nagar, Bangalore",9.18041E+11,12.99150568,77.59425055
Brew and Barbeque - A Microbrewery Pub,"Continental, North Indian, BBQ, Steak",2000," Soul Space Arena Mall, Marathahalli, Bangalore",4.6,10800,3.9,1146,https://www.zomato.com/bangalore/brew-and-barbeque-a-microbrewery-pub-marathahalli-bangalore,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",9.18047E+11,12.97992377,77.69411355
Roots,"North Indian, South Indian, Chinese, Continental, Mangalorean",1300," Koramangala 1st Block, Bangalore",4.6,2382,4,1517,https://www.zomato.com/bangalore/roots-koramangala-1st-block,"43/A, 1st Main, Jakkasandra Road,  Near Wipro Park, Koramangala 1st Block, Bangalore",9.18042E+11,12.9293182,77.6346292
Third Wave Coffee Roasters,"Cafe, Continental, Beverages",1000," Koramangala 4th Block, Bangalore",4.6,1439,4.1,547,https://www.zomato.com/bangalore/third-wave-coffee-roasters-koramangala-4th-block,"984, 80 Feet Main Road, Koramangala 4th Block, Bangalore",9.17338E+11,12.93484587,77.62964129
Nasi And Mee,"Asian, Indonesian, Japanese, Sushi, Thai",800," Koramangala 4th Block, Bangalore",4.6,2767,4.4,812,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block,"974, 80 Feet Road, Koramangala 4th Block, Bangalore",9.17023E+11,12.93495371,77.62904651
The Terrace at Gilly's Redefined,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages",1700," Gilly's Redefined, Koramangala 4th Block, Bangalore",4.6,3194,,2,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block,"413, 100 Feet Road, Near E-Zone, Koramangala 4th Block, Bangalore",9.19606E+11,12.93344436,77.62366802
Art of Delight,"Ice Cream, Desserts, Beverages",300," Residency Road, Bangalore",4.6,2081,4.2,759,https://www.zomato.com/bangalore/art-of-delight-residency-road,"44/1, Residency Road, Bangalore",9.18041E+11,12.97329573,77.60922331
Oota Bangalore,"Mangalorean, South Indian",1000," Windmills Craftworks, Bangalore",4.6,670,4.1,270,https://www.zomato.com/bangalore/oota-bangalore-whitefield,"331, 5B, EPIP Zone, Near L&T Infotech, Whitefield, Bangalore",9.1888E+11,12.98237081,77.72192437
Hari Super Sandwich,"Fast Food, Sandwich",250," Jayanagar, Bangalore",4.6,1893,3.9,1445,https://www.zomato.com/bangalore/hari-super-sandwich-jayanagar,"177/A-44, 22nd Cross, 3rd Block, Jayanagar, Bangalore",9.19901E+11,12.9330506,77.58236803
The Bier Library,"Continental, North Indian, Pizza, BBQ",2000," Koramangala 6th Block, Bangalore",4.5,3411,4.1,283,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore,"14, Patel Narayana Reddy Layout, 80 Feet Main Road, Koramangala 6th Block, Bangalore",9.1974E+11,12.939076,77.626065
Toit,"Italian, American, Modern Indian",2000," Indiranagar, Bangalore",4.5,16400,4.3,311,https://www.zomato.com/bangalore/toit-indiranagar,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",9.1902E+11,12.9788881,77.640922
1131 Bar + Kitchen,"Continental, Mughlai, North Indian, Beverages, Chinese, Thai, Desserts",1500," Indiranagar, Bangalore",4.5,6210,4.3,140,https://www.zomato.com/bangalore/1131-bar-kitchen-indiranagar-bangalore,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",9.179E+11,12.96988085,77.64128376
The Pump House,"Continental, Finger Food, North Indian, Italian, Asian, Desserts",1600," JP Nagar, Bangalore",4.5,2500,3.9,56,https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore,"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",9.19606E+11,12.90637388,77.58206293
Red Rhino,"Pizza, Burger, Biryani, Chinese, Desserts, Healthy Food, North Indian, Pasta",1800," Whitefield, Bangalore",4.5,3242,4,3004,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore,"4th Floor, Uptown Square, Seegehalli, Hoskote Road, Near Alliance 10 Downing Villas, Whitefield, Bangalore",9.19607E+11,13.0247031,77.7614997
Nagarjuna,"Andhra, Biryani",800," Residency Road, Bangalore",4.5,2273,,8,https://www.zomato.com/bangalore/nagarjuna-residency-road,"44/1, Residency Road, Bangalore",9.18041E+11,12.97317843,77.60922901
The Reservoire,"Continental, North Indian, American, Asian, Chinese, Pizza, Desserts, Beverages",1400," Koramangala 5th Block, Bangalore",4.5,3872,3.4,158,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block,"17th Main Road, JNC Road, Koramangala 5th Block, Bangalore",9.19149E+11,12.93338717,77.62224443
Vidyarthi Bhavan,South Indian,150," Basavanagudi, Bangalore",4.5,4993,,0,https://www.zomato.com/bangalore/vidyarthi-bhavan-basavanagudi,"32, Near Gandhi Bazaar Circle, Basavanagudi, Bangalore",9.18027E+11,12.9450049,77.57145714
House Of Commons,"Bar Food, North Indian, Continental, Italian, Chinese",1400," JP Nagar, Bangalore",4.5,2956,4,277,https://www.zomato.com/bangalore/house-of-commons-jp-nagar-bangalore,"57/293/1, 2nd Floor, Marenhalli Village, 2nd Phase, 24th Main Road, JP Nagar, Bangalore",9.16366E+11,12.91438475,77.58587368
Koramangala Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1500," Koramangala 7th Block, Bangalore",4.5,5850,4.1,1130,https://www.zomato.com/koramangalasocial,"118, 3rd Floor, Koramangala Industrial Area, 80 Feet Road, Koramangala 7th Block, Bangalore",9.19152E+11,12.935475,77.614142
Hammered,"North Indian, Chinese, Fast Food, Desserts, Beverages",1400," New BEL Road, Bangalore",4.5,5185,3.9,569,https://www.zomato.com/bangalore/hammered-new-bel-road-bangalore,"3, RMV 2nd Stage, 80 Feet Road, Near MK Tower, New BEL Road, Bangalore",9.18023E+11,13.02737411,77.57731508
46 Ounces Brewgarden,"Chinese, North Indian, Italian, Beverages, Bengali, Desserts",1600," Electronic City, Bangalore",4.5,2329,3.7,165,https://www.zomato.com/bangalore/46-ounces-brewgarden-electronic-city-bangalore,"43, Phase 1, Electronic City, Bangalore",9.17407E+11,12.84977027,77.65783768
Levitate Brewery And Kitchen,"Finger Food, North Indian, Continental",2300," JP Nagar, Bangalore",4.5,2192,,0,https://www.zomato.com/bangalore/levitate-brewery-and-kitchen-jp-nagar-bangalore,"57, Sarakki Industrial Layout, 3 Phase, 1 Main Road, JP Nagar, Bengalore",9.1702E+11,12.90755234,77.59935513
The Big Barbeque,"North Indian, Continental, Chinese, Pizza, Beverages, Desserts",1500," Marathahalli, Bangalore",4.5,5009,3.9,796,https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore,"88, 2nd Floor, Near More Supermarket, Outer Ring Road, Marathahalli, Bangalore",9.18881E+11,12.94831687,77.69886877
Dyu Art Cafe,"Cafe, Continental, Beverages",600," Koramangala 8th Block, Bangalore",4.5,4537,4.3,305,https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore,"23, KHB - Mig Colony, Koramangala 8th Block, Bangalore",9.19611E+11,12.93708161,77.61755928
Tipsy Bull - The Bar Exchange,"Finger Food, North Indian, Continental, Fast Food, Naga",1200," JP Nagar, Bangalore",4.5,2635,3.9,41,https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-jp-nagar-bangalore,"603, 15th Cross, 100 Feet Ring Road, 6th Phase, JP Nagar, Bangalore",9.18884E+11,12.90637585,77.57786125
Vapour Brewpub and Diner,"North Indian, Continental, Italian",1400," Sarjapur Road, Bangalore",4.5,4904,3.4,143,https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore",9.19874E+11,12.91417919,77.67762903
Brewklyn Microbrewery,"Continental, Italian, North Indian",1800," Kalyan Nagar, Bangalore",4.5,3406,3.9,345,https://www.zomato.com/bangalore/brewklyn-microbrewery-1-kalyan-nagar,"30, 4th Floor, BR Plaza, 4th Cross, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",9.18049E+11,13.0215447,77.64050692
Basil Bistro,"Continental, Italian, North Indian, Chinese",1000," HSR, Bangalore",4.5,1009,3.6,117,https://www.zomato.com/bangalore/basil-bistro-hsr-bangalore,"2064, Siri Iris, 13 Cross, 24 Main Road, Vanganhalli, Sector 1, HSR, Bangalore",9.19607E+11,12.9155733,77.64901623
The Bangalore Cafe,"Modern Indian, North Indian, Pizza, Continental, Beverages, Desserts",800," Shanti Nagar, Bangalore",4.5,1838,4,417,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore,"4, KH Road, Near Double Road, Shanti Nagar, Bangalore",9.19536E+11,12.96170807,77.59464987
Shiro,"Japanese, Asian, Thai",3000," UB City, Bangalore",4.5,2454,4.4,191,https://www.zomato.com/bangalore/shiro-lavelle-road,"2nd Floor, UB City Mall, Vittal Mallya Road, Lavelle Road, Bangalore",9.18042E+11,12.97177616,77.59648249
Just BLR,"Continental, North Indian, Italian, Beverages",1900," Brigade Road, Bangalore",4.5,2889,3.4,44,https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore,"185, 1st Floor, Deena Complex, Brigade Road, Bangalore",9.17484E+11,12.96960182,77.60755699
Sattvam,"North Indian, South Indian",1500," Sadashiv Nagar, Bangalore",4.5,2359,4.1,560,https://www.zomato.com/bangalore/sattvam-sadashiv-nagar,"35, 4 & 5 th Floor, J.M Plaza, Opposite Shell Petrol Bunk, Sadashiv Nagar, Bangalore",9.18024E+11,13.00574325,77.58071411
Karavalli - The Gateway Hotel,"Mangalorean, Konkan, Seafood, Kerala",3500," The Gateway Hotel, Residency Road, Bangalore",4.5,818,,0,https://www.zomato.com/bangalore/karavalli-the-gateway-hotel-residency-road,"Gateway Hotel, 66, Residency Road, Bangalore",9.19539E+11,12.97193984,77.60895208
Masala Mandi,"North Indian, Mughlai, Seafood, Desserts",1200," Sarjapur Road, Bangalore",4.5,1231,4,742,https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore,"2nd Floor, Goldsands Building, Opposite Wipro, Doddakannelli, Sarjapur Road, Bangalore",9.19606E+11,12.91049683,77.68550701
Rim Naam - The Oberoi,Thai,4000," The Oberoi, MG Road, Bangalore",4.5,1123,,0,https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore,"The Oberoi, 37-39, MG Road, Bangalore",9.18026E+11,12.97277559,77.61864122
Sly Granny - The Community House,"Continental, European, American, Italian, Burger, Coffee, Desserts, Modern Indian",2500," Indiranagar, Bangalore",4.5,1274,3.9,55,https://www.zomato.com/bangalore/sly-granny-the-community-house-indiranagar,"618, 3rd & 4th Floor, HAL 2nd Stage, Indiranagar, Bangalore",9.18049E+11,12.97045196,77.64647517
China Bistro,"Chinese, Asian, Oriental, Sushi, Thai, Japanese, Seafood, Desserts",1600," Indiranagar, Bangalore",4.5,986,4.3,605,https://www.zomato.com/bangalore/china-bistro-indiranagar-bangalore,"2986, 1st Floor, Ashwini Complex, 12th Main Road, Indiranagar, Bangalore",9.19036E+11,12.97038661,77.64484104
Ssaffron - Shangri-La Hotel,"North Indian, Seafood, Asian, Bar Food",3000," Shangri-La Hotel, Vasanth Nagar , Bangalore",4.5,834,,14,https://www.zomato.com/bangalore/ssaffron-shangri-la-hotel-vasanth-nagar-bangalore,"56-6B, Shangri-La Hotel, Palace Road, Vasanth Nagar, Banglaore",9.18045E+11,12.99208654,77.5885703
Salt - Indian Restaurant Bar & Grill,"North Indian, South Indian, Biryani, Mughlai, Fast Food, Desserts, Beverages",1500," Forum Mall, Koramangala, Bangalore",4.5,1157,4.3,581,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore,"2nd Floor, Forum Mall, Koramangala 7th Block, Bangalore",9.18022E+11,12.93472007,77.6114586
